Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Labels,Labels,Labels,Description,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Cause),Inward issue link (Cause),Outward issue link (Cause),Inward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Fix),Inward issue link (Fix),Inward issue link (Fix),Inward issue link (Parent-Child),Outward issue link (Parent-Child),Outward issue link (Parent-Child),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AD Department),Custom field (Action Plan),Custom field (Amount),Custom field (Analyse Estimation),Custom field (Analyst),Custom field (BSS Comment),Custom field (Borrower),Custom field (Business Line),Custom field (Business Tester),Custom field (CPSDEV_UsersFromFIBA),Custom field (Class of Task/Bug),Custom field (Client email),Custom field (Closed in SCSM),Custom field (Closure Meeting Date),Custom field (Code reviewer),Custom field (Commit Name),Custom field (Conditions of approval),Custom field (Cost Center),Custom field (Critical Category),Custom field (Critical Risk Details),Custom field (Currency),Custom field (Customer),Custom field (Date End),Custom field (Date Start),Custom field (DeadLine),Custom field (Deadline Date),Custom field (Developer),Custom field (Developer estimation),Custom field (Due Date),Custom field (End date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Ext Due Date),Custom field (Ext Estimate),Custom field (External Ref),Custom field (External Reporter),Custom field (Flagged),Custom field (Go-Live Strategy),Custom field (Group name),Custom field (HDH Business Approver),Custom field (IM Department),Custom field (IM Department (list)),Custom field (IT Comment),Custom field (IT Dept. estimation),Custom field (IT Tester),Custom field (ITR Comment),Custom field (Implementation estimated end time),Custom field (Infra Portal link),Custom field (Initiation Date),Custom field (Issue),Custom field (Kick Off Meeting Date),Custom field (LinkedIssuesAssignees),Custom field (LinkedIssuesReporters),Custom field (LinkedUsersToNotify),Custom field (ManualWorkaround),Custom field (NVB Single DB values picker),Custom field (NVB Values Picker),Custom field (New Business Request),Custom field (Ord),Custom field (Order Number),Custom field (Original Target Date),Custom field (Paid),Custom field (Patch number for rollback),Custom field (Path to Dump),Custom field (Portal link),Custom field (Priority in Release),Custom field (Rank),Custom field (Redevelopment Count),Custom field (Repository),Custom field (RepositoryNumber),Custom field (Requested by),Custom field (Resolution),Custom field (Responsible IT Team),Custom field (Responsible ITOPs Team),Custom field (Revised Target Date),Custom field (SCSM Ticket number),Custom field (Sprint goal),Custom field (Stage SLA Date),Custom field (Status Details),Custom field (Status Details Date),Custom field (Story Points),Custom field (Structure Index Monitor),Custom field (Task category),Custom field (Test Case ID),Custom field (Test Estimation),Custom field (Testing),Custom field (Ticket Number),Custom field (To be passed to UAT),Custom field (Vendor name),Custom field (WebSite),Custom field (Webwatcher Module),Custom field (Описание решения),Custom field (Ответственный за UAT от бизнеса),Custom field (Плановый старт UAT),Custom field (Плановый финиш UAT),Custom field (Подрядчик),Custom field (Предполагаемая дата начала работ),Custom field (Предполагаемая дата передачи в тестирование),Custom field (Проблема регулярная),Custom field (Размер задачи),Custom field (Ручной расчёт стоимости реализации),Custom field (Статус UAT),Custom field (Стоимость реализации),Custom field (Стоимость ресурса),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Оптимизировать процесс загрузка договоров РДУ за дату Т, карточки клиента, автозаполнение аналитики для ВУ",IMDEV-9105,1195406,,Change Request,Deploying to Prod,IMDEV,IM Development,software,AKonstantinov,,,Medium,Done,AChmykhalov,SKhromov,SKhromov,24/Jun/26 13:06 +0300,17/Aug/26 9:16 +0300,14/Sep/26 5:32 +0300,29/Jul/26 8:19 +0300,,AvancoreDU,,Retail_DU,,,"Оптимизировать процесс загрузка договоров РДУ за дату Т, карточки клиента, автозаполнение аналитики для ВУ",AChmykhalov,SKhromov,YYurasheva,,,,,,"Изучение задачи, анализ источников, подготовке к ведению проекта по задаче;07/Jul/26 7:36 +0300;AChmykhalov;5400",,,,,,,,,,,,,,,,,,,,,,,,,420,0,5400,"1,285%",420,0,5400,,,,,,,,,IMDEV-9316,,IMAPPS-38417,,,,,,,,,"15/Jul/26 9:45 +0300;AChmykhalov;IMDEV-9105_TZ_indexing_Avancor.html;https://jira/secure/attachment/2787351/IMDEV-9105_TZ_indexing_Avancor.html","20/Jul/26 13:32 +0300;AChmykhalov;ИТ Тест 9105.docx;https://jira/secure/attachment/2794220/%D0%98%D0%A2+%D0%A2%D0%B5%D1%81%D1%82+9105.docx","14/Jul/26 16:11 +0300;AChmykhalov;Отладчик_100.pff;https://jira/secure/attachment/2786337/%D0%9E%D1%82%D0%BB%D0%B0%D0%B4%D1%87%D0%B8%D0%BA_100.pff","15/Jul/26 9:33 +0300;AChmykhalov;Отладчик_100_Индексация.pff;https://jira/secure/attachment/2787296/%D0%9E%D1%82%D0%BB%D0%B0%D0%B4%D1%87%D0%B8%D0%BA_100_%D0%98%D0%BD%D0%B4%D0%B5%D0%BA%D1%81%D0%B0%D1%86%D0%B8%D1%8F.pff","14/Jul/26 16:11 +0300;AChmykhalov;Сообщения_100.txt;https://jira/secure/attachment/2786338/%D0%A1%D0%BE%D0%BE%D0%B1%D1%89%D0%B5%D0%BD%D0%B8%D1%8F_100.txt","15/Jul/26 9:33 +0300;AChmykhalov;Сообщения_100_Индекс.txt;https://jira/secure/attachment/2787297/%D0%A1%D0%BE%D0%BE%D0%B1%D1%89%D0%B5%D0%BD%D0%B8%D1%8F_100_%D0%98%D0%BD%D0%B4%D0%B5%D0%BA%D1%81.txt","14/Jul/26 16:11 +0300;AChmykhalov;Тест_100ДоговоровДУ.png;https://jira/secure/attachment/2786336/%D0%A2%D0%B5%D1%81%D1%82_100%D0%94%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D0%B2%D0%94%D0%A3.png","15/Jul/26 9:33 +0300;AChmykhalov;Тест_100ДоговоровДУ_ПослеИндексирования.png;https://jira/secure/attachment/2787295/%D0%A2%D0%B5%D1%81%D1%82_100%D0%94%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D0%B2%D0%94%D0%A3_%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%98%D0%BD%D0%B4%D0%B5%D0%BA%D1%81%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F.png",,,,,,,,,,,,,,,,,,,,,,,,,,WIM,,,,,,,,,,,,,,,,,,,,,,,,IMDEV-8633,,,,,https://lk.avancore.ru/tasks/ASP-210782,,,,,,IM IT,IM IT,,,,,,,,,,,,,,,,,,,,no,,,,,"0|i3g3pf:9",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Да,normal,,,,,"14/Jul/26 16:09 +0300;AChmykhalov;h3. IMDEV-9105 — производительность загрузки договоров РДУ (гипотеза и замер «как было»)

*Сценарий:* загрузка 100 договоров РДУ (путь как в {{СинхронизацияНСИ}}: СоздатьНСИ → аналитика → поручение на перевод). Без ДО, без ПП, откат транзакции. База Srvr=""SMSK02MG138U:6541"";Ref=""AVC_REGR_CLEAN_DU"";, 14.07.2026 14:30.

----

h4. Замер «как было» (без индекса)

* ИТОГО: *311,5 с* (~5 мин), ~3,03 с на договор, 0,33 дог/с
* Блок «СоздатьНСИ + аналитика + поручение»: *303,3 с (97%)*
* Генерация ТЧ: 6,5 с (2%) — не узкое место

----

h4. Гипотеза

По профилю отладчика (PFF) *55,7%* всего прогона (*172 с*) уходит на *один и тот же* запрос к справочнику {{ДоговорыКонтрагентов}} (два call-site, ~500 вызовов на 100 договоров):

{code}
ВЫБРАТЬ ДоговорыКонтрагентов.Ссылка
ИЗ Справочник.ДоговорыКонтрагентов
ГДЕ Владелец = &Владелец
  И ДоговорДУ = &ДоговорДУ
  И РольДоговора = &РольДоговора
{code}

* L3335 ({{ДоговорКонтрагента}}): 128,4 с (41,6%), N=400
* L3199 (торговый код / ЕБС): 43,6 с (14,1%), N=100

У реквизитов {{ДоговорДУ}} и {{РольДоговора}} индексирование *выключено* ({{DontIndex}}). Предположение: включение индекса уберёт ~172 с и заметно сократит общий прогон.

*Подробности / скриншоты / ТЗ Аванкору:*  !Тест_100ДоговоровДУ.png|thumbnail! 
","15/Jul/26 9:45 +0300;AChmykhalov;h3. IMDEV-9105 — производительность загрузки договоров РДУ (замер «как стало» после индекса)

*Сценарий:* тот же, что в замере «как было»: загрузка 100 договоров РДУ (путь как в {{СинхронизацияНСИ}}: СоздатьНСИ → аналитика → поручение на перевод). Без ДО, без ПП, откат транзакции. База {{Srvr=""SMSK02MG138U:6541"";Ref=""AVC_REGR_CLEAN_DU"";}}, 14.07.2026 15:41. На реквизитах {{ДоговорДУ}} и {{РольДоговора}} включено индексирование (тестовый стенд).

----

h4. Замер «как стало» (с индексом)

* ИТОГО: *132,4 с* (~2,2 мин), ~1,32 с на договор, 0,76 дог/с
* Блок «СоздатьНСИ + аналитика + поручение»: *123,9 с (94%)*
* Генерация ТЧ: 6,9 с (5%) — по-прежнему не узкое место

----

h4. Сравнение с «как было»

||Показатель||Было (без индекса)||Стало (с индексом)||Эффект||
|ИТОГО|311,5 с|132,4 с|−58%, ×2,35|
|Блок СоздатьНСИ…|303,3 с|123,9 с|−59%|
|На 1 договор|~3,03 с|~1,32 с|−56%|
|Горячий SELECT (L3335+L3199)|172 с (55,7%)|1,20 с (~0,9%)|−171 с (−99%)|

----

h4. Профиль PFF — тот же запрос к {{ДоговорыКонтрагентов}}

{code}
ВЫБРАТЬ ДоговорыКонтрагентов.Ссылка
ИЗ Справочник.ДоговорыКонтрагентов
ГДЕ Владелец = &Владелец
  И ДоговорДУ = &ДоговорДУ
  И РольДоговора = &РольДоговора
{code}

* L3335 ({{ДоговорКонтрагента}}): *0,96 с* (было 128,4 с), N=400 — ×133
* L3199 (торговый код / ЕБС): *0,24 с* (было 43,6 с), N=100 — ×184
* Сумма TOP-2: *1,20 с* (было 172 с)

Экономия по ИТОГО (−179 с) практически равна исчезновению двух горячих строк (−171 с). *Гипотеза подтверждена численно.*

----

h4. Вывод / дальше

Индекс на {{ДоговорДУ}} / {{РольДоговора}} ушёл главный тормоз загрузки. Остаточный TOP (вторичный слой): подписка выгрузки CSV (~10 с), L3380 «АналитическийПризнакиБрокерскогоСчета» (~8,6 с), записи/проведения УП и поручений. Приоритет — закрепить индекс в базовой конфигурации (ТЗ Аванкору).
","15/Jul/26 9:46 +0300;AChmykhalov;Задача на Аванкор  [^IMDEV-9105_TZ_indexing_Avancor.html] 
https://lk.avancore.ru/tasks/ASP-210782
","16/Jul/26 14:36 +0300;AChmykhalov; 
Еременко Константин 16.07.26 14:23:06 
 
	Доступно в релизе 1.5.29.3

 

","20/Jul/26 13:33 +0300;AChmykhalov;Проведено успешное тестирование доработок Аванкор  [^ИТ Тест 9105.docx] ","28/Jul/26 8:15 +0300;AChmykhalov;*Предусловия внедрения*
 * Паспорт объекта внедрения слинкован с задачей: 
 * MergeRequest прошел ревью и принят в MAIN:
 * Слинкована DEPLOY-задача: Да

*План внедрения*
 * Тип объекта внедрения : Конфигурация
 * Название объекта внедрения: DU
 * Объект внедрения новый (да/нет): Нет
 * База внедрения (если применимо: указать название): PROD_AVC_DU
 * MergeRequest в GIT или номер коммита в DEV-хранилище: -
 * Помещено в каталог автозагрузки (если применимо: указать путь до файла): -
 * Версия (если применимо: указать внедряемый номер): *не ниже 1.5.29.3*
 * График внедрения (планово, срочно): планово

*Дополнительные действия*
 * Выполнить настройки (если применимо: указать параметры настроек): Выполнять настройки не нужно
 * Дополнительные действия при внедрении : нет","28/Jul/26 11:56 +0300;YYurasheva;без проверки BSS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оптимизация загрузки отчетов брокера,IMDEV-9095,1195365,,Change Request,Deploying to Prod,IMDEV,IM Development,software,AKonstantinov,,,Medium,Done,AChmykhalov,SKhromov,SKhromov,24/Jun/26 12:17 +0300,29/Jul/26 8:31 +0300,28/Aug/26 11:19 +0300,29/Jul/26 8:19 +0300,,AvancoreDU,,Retail_DU,,,"Проанализировать процедуры загрузки отчета брокера и оптимизировать время загрузки в расчете на богльшое количество сделок и клиентов.

Обработка ""Распределение доходов по ценным бумагам""",AChmykhalov,SKhromov,YYurasheva,,,,,,"Изучение задачи, анализ источников, подготовке к ведению проекта по задаче;07/Jul/26 7:35 +0300;AChmykhalov;5400","Анализ медленных мест после замеров;08/Jul/26 13:25 +0300;AChmykhalov;21600","Тестирование вариантов доработок для ускорения;09/Jul/26 13:24 +0300;AChmykhalov;21600","Тест;10/Jul/26 12:52 +0300;AChmykhalov;7200",,,,,,,,,,,,,,,,,,,,,,201600,145800,55800,27%,201600,145800,55800,,,,,,,,,,,IMAPPS-38417,,,,,,,,,"09/Jul/26 13:22 +0300;AChmykhalov;imdev_9095_test_results_01_06_2026.html;https://jira/secure/attachment/2774726/imdev_9095_test_results_01_06_2026.html","10/Jul/26 16:48 +0300;AChmykhalov;IMDEV-9095_ТЗ_индексация_ДокументОснование_Аванкор.html;https://jira/secure/attachment/2777304/IMDEV-9095_%D0%A2%D0%97_%D0%B8%D0%BD%D0%B4%D0%B5%D0%BA%D1%81%D0%B0%D1%86%D0%B8%D1%8F_%D0%94%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%9E%D1%81%D0%BD%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%90%D0%B2%D0%B0%D0%BD%D0%BA%D0%BE%D1%80.html","09/Jul/26 13:23 +0300;AChmykhalov;Выберем.docx;https://jira/secure/attachment/2774730/%D0%92%D1%8B%D0%B1%D0%B5%D1%80%D0%B5%D0%BC.docx","20/Jul/26 14:21 +0300;AChmykhalov;ПланТестированияАванкор_9095.docx;https://jira/secure/attachment/2794342/%D0%9F%D0%BB%D0%B0%D0%BD%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%90%D0%B2%D0%B0%D0%BD%D0%BA%D0%BE%D1%80_9095.docx","08/Jul/26 13:25 +0300;AChmykhalov;Тестирование времени.docx;https://jira/secure/attachment/2772608/%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5+%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8.docx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIM,,,,,,,,,,,,,,,,,,,,,,,,IMDEV-8633,,,,,https://lk.avancore.ru/tasks/ASP-210782,,,,,,IM IT,IM IT,,,,,,,,,,,,,,,,,,,,no,,,,,"0|i3g3pf:c",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Да,normal,,,,,"08/Jul/26 13:26 +0300;AChmykhalov;Замеры медленных мест  [^Тестирование времени.docx] ","09/Jul/26 13:22 +0300;AChmykhalov;Результаты проверки гипотиз, тестирование  [^Выберем.docx] выбранного варианта  [^imdev_9095_test_results_01_06_2026.html] ","10/Jul/26 16:49 +0300;AChmykhalov;Задание для Аванкор  [^IMDEV-9095_ТЗ_индексация_ДокументОснование_Аванкор.html] 

Ссылка на задачу https://lk.avancore.ru/tasks/ASP-210782","16/Jul/26 14:36 +0300;AChmykhalov; 
Еременко Константин 16.07.26 14:23:06 
 
	Доступно в релизе 1.5.29.3

 

","20/Jul/26 14:22 +0300;AChmykhalov;Проверены доработки Аванкор (успешно)  [^ПланТестированияАванкор_9095.docx] ","28/Jul/26 8:13 +0300;AChmykhalov;*Предусловия внедрения*
 * Паспорт объекта внедрения слинкован с задачей: 
 * MergeRequest прошел ревью и принят в MAIN:
 * Слинкована DEPLOY-задача: Да

*План внедрения*
 * Тип объекта внедрения : Конфигурация
 * Название объекта внедрения: DU
 * Объект внедрения новый (да/нет): Нет
 * База внедрения (если применимо: указать название): PROD_AVC_DU
 * MergeRequest в GIT или номер коммита в DEV-хранилище: -
 * Помещено в каталог автозагрузки (если применимо: указать путь до файла): -
 * Версия (если применимо: указать внедряемый номер): *не ниже 1.5.29.3*
 * График внедрения (планово, срочно): планово

*Дополнительные действия*
 * Выполнить настройки (если применимо: указать параметры настроек): Выполнять настройки не нужно
 * Дополнительные действия при внедрении : нет","28/Jul/26 11:56 +0300;YYurasheva;без проверки BSS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
