#FORMAT=8899-SNAPSHOT-1
#MARK=new12
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85507
#CREATED=20260618095816

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
eff97030-be30-11f0-b2ca-0050569f27c0|084b7490-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
eff97030-be30-11f0-b2ca-0050569f27c0|084b7490-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b76ea-6ada-11f1-85a8-00505689c994|1||0
eff97030-be30-11f0-b2ca-0050569f27c0|084b7490-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b754e-6ada-11f1-85a8-00505689c994|1||0
a4065c1a-bec3-11f0-b2ca-0050569f27c0|084b74a3-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
a4065c1a-bec3-11f0-b2ca-0050569f27c0|084b74a3-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
a4065c1a-bec3-11f0-b2ca-0050569f27c0|084b74a3-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
a4065c1a-bec3-11f0-b2ca-0050569f27c0|084b74a3-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b7644-6ada-11f1-85a8-00505689c994|1||0
a4065c1a-bec3-11f0-b2ca-0050569f27c0|084b74a3-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7515-6ada-11f1-85a8-00505689c994|1||0
f55c716f-bee0-11f0-b2ca-0050569f27c0|084b74ca-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
f55c716f-bee0-11f0-b2ca-0050569f27c0|084b74ca-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
f55c716f-bee0-11f0-b2ca-0050569f27c0|084b74ca-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
f55c716f-bee0-11f0-b2ca-0050569f27c0|084b74ca-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7587-6ada-11f1-85a8-00505689c994|1||0
f55c716f-bee0-11f0-b2ca-0050569f27c0|084b74ca-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b76c5-6ada-11f1-85a8-00505689c994|1||0
286e9fcb-bee5-11f0-b2ca-0050569f27c0|084b7502-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
286e9fcb-bee5-11f0-b2ca-0050569f27c0|084b7502-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
286e9fcb-bee5-11f0-b2ca-0050569f27c0|084b7502-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
286e9fcb-bee5-11f0-b2ca-0050569f27c0|084b7502-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7574-6ada-11f1-85a8-00505689c994|1||0
286e9fcb-bee5-11f0-b2ca-0050569f27c0|084b7502-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b7734-6ada-11f1-85a8-00505689c994|1||0
bc941960-beea-11f0-b2ca-0050569f27c0|084b7528-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
bc941960-beea-11f0-b2ca-0050569f27c0|084b7528-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
bc941960-beea-11f0-b2ca-0050569f27c0|084b7528-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
