#FORMAT=8899-SNAPSHOT-1
#MARK=
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85505
#CREATED=20260618115022

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
eff97030-be30-11f0-b2ca-0050569f27c0|2dad8c73-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
eff97030-be30-11f0-b2ca-0050569f27c0|2dad8c73-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8dc9-6ae8-11f1-85a8-00505689c994|1||0
eff97030-be30-11f0-b2ca-0050569f27c0|2dad8c73-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad8ecd-6ae8-11f1-85a8-00505689c994|1||0
a4065c1a-bec3-11f0-b2ca-0050569f27c0|2dad8c86-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
a4065c1a-bec3-11f0-b2ca-0050569f27c0|2dad8c86-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
a4065c1a-bec3-11f0-b2ca-0050569f27c0|2dad8c86-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
a4065c1a-bec3-11f0-b2ca-0050569f27c0|2dad8c86-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8ddc-6ae8-11f1-85a8-00505689c994|1||0
a4065c1a-bec3-11f0-b2ca-0050569f27c0|2dad8c86-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad8f05-6ae8-11f1-85a8-00505689c994|1||0
f55c716f-bee0-11f0-b2ca-0050569f27c0|2dad8c99-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
f55c716f-bee0-11f0-b2ca-0050569f27c0|2dad8c99-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
